Número,Processo,NI Beneficiário,Origem,Situação,Valor,Tipo_NI_Ben,Tipo_NI_Int,NIs_iguais,Ano,Tempo_decorrido,Número
1,3596,929,Fazendário,CREDITADA,1532.37,PF,PF,S,2019,1,
2,16280,2355,Fazendário,CREDITADA,14151.52,PF,PF,S,2018,2,
3,31411,944,Fazendário,CREDITADA,11628.96,PF,PF,N,2020,0,
4,41896,944,Fazendário,CREDITADA,9363.63,PF,PF,N,2020,0,
5,42972,1359,Fazendário,CREDITADA,647.74,PF,PF,S,2018,2,
6,817,3615,Fazendário,CREDITADA,10909.8,PF,PF,S,2018,2,
7,33924,2806,Fazendário,CREDITADA,32868.42,PF,PF,S,2019,1,
8,14040,3664,Fazendário,CREDITADA,5366.88,PF,PF,S,2018,2,
9,11846,524,Fazendário,CREDITADA,4760.59,PF,PF,S,2018,2,
10,42073,3017,Fazendário,CREDITADA,1451.74,PF,PF,S,2020,0,
11,27455,3017,Fazendário,CREDITADA,776.55,PF,PF,S,2020,0,
12,26877,2048,Fazendário,CREDITADA,12258.06,PF,PF,S,2019,1,
13,2130,3656,Fazendário,CREDITADA,877.26,PF,PF,S,2020,0,
14,4461,3656,Fazendário,CREDITADA,900.82,PF,PF,S,2020,0,
15,13631,2064,Fazendário,CREDITADA,26176.51,PF,PF,N,2018,2,
16,13631,2664,Fazendário,CREDITADA,26168.66,PF,PF,N,2018,2,
17,13631,3612,Fazendário,CREDITADA,8722.89,PF,PF,N,2018,2,
18,13631,3839,Fazendário,CREDITADA,8722.89,PF,PF,N,2018,2,
19,7623,3568,Fazendário,CREDITADA,24186.84,PF,PF,S,2020,0,
20,30450,1117,Fazendário,CREDITADA,30260.91,PF,PF,S,2020,0,
21,42773,1117,Fazendário,CREDITADA,38984.21,PF,PF,S,2020,0,
22,10117,1117,Fazendário,CREDITADA,37279.89,PF,PF,S,2020,0,
23,19891,1117,Fazendário,CREDITADA,31557.11,PF,PF,S,2020,0,
24,37268,3277,Fazendário,CREDITADA,2160.22,PF,PF,N,2018,2,
25,46840,3537,Fazendário,CREDITADA,537.18,PF,PF,S,2020,0,
26,32553,202,Fazendário,CREDITADA,761.49,PF,PF,S,2020,0,
27,28320,2786,Fazendário,CREDITADA,1205.11,PF,PF,N,2018,2,
28,17270,3524,Fazendário,CREDITADA,3106.43,PF,PF,N,2018,2,
29,28029,2807,Fazendário,CREDITADA,4322.12,PF,PF,N,2018,2,
30,1185,602,Fazendário,CREDITADA,1768.62,PF,PF,S,2018,2,
31,33142,95,Fazendário,CREDITADA,3612.11,PF,PF,N,2020,0,
32,18233,95,Fazendário,CREDITADA,2431.74,PF,PF,N,2018,2,
33,18017,3519,Fazendário,CREDITADA,506.46,PF,PF,N,2011,9,
34,4516,2689,Fazendário,CREDITADA,55.24,PF,PF,S,2014,6,
35,2619,3660,Fazendário,CREDITADA,8188.71,PF,PF,S,2012,8,
36,38700,466,Fazendário,CREDITADA,7685.34,PF,PF,N,2018,2,
37,38700,3244,Fazendário,CREDITADA,1921.91,PF,PF,N,2018,2,
38,38700,1804,Fazendário,CREDITADA,1921.91,PF,PF,N,2018,2,
39,5745,1135,Fazendário,CREDITADA,1041.96,PF,PF,N,2018,2,
40,9194,1413,Fazendário,CREDITADA,2868.26,PF,PF,N,2020,0,
41,9194,3801,Fazendário,CREDITADA,1434.13,PF,PF,N,2020,0,
42,9194,1131,Fazendário,CREDITADA,1434.13,PF,PF,N,2020,0,
43,10182,2820,Fazendário,CREDITADA,1455.48,PF,PF,N,2018,2,
44,18722,2351,Fazendário,CREDITADA,2999.33,PF,PF,S,2018,2,
45,19021,2351,Fazendário,CREDITADA,5257.63,PF,PF,S,2018,2,
46,42975,2351,Fazendário,CREDITADA,4729.1,PF,PF,S,2018,2,
47,18030,2351,Fazendário,CREDITADA,4349.8,PF,PF,S,2018,2,
48,47521,172,Fazendário,CREDITADA,2409.57,PF,PF,N,2018,2,
49,47521,2055,Fazendário,CREDITADA,2409.57,PF,PF,N,2018,2,
50,4580,2526,Fazendário,CREDITADA,206.71,PF,PF,S,2018,2,
51,11870,2814,Fazendário,CREDITADA,907.08,PF,PF,N,2018,2,
52,11870,59,Fazendário,CREDITADA,907.08,PF,PF,N,2018,2,
53,11870,447,Fazendário,CREDITADA,907.35,PF,PF,N,2018,2,
54,36843,3494,Fazendário,CREDITADA,7718.44,PF,PF,S,2020,0,
55,9418,26,Fazendário,CREDITADA,608.51,PF,PF,N,2012,8,
56,36564,26,Fazendário,CREDITADA,99.58,PF,PF,N,2012,8,
57,18907,3295,Fazendário,CREDITADA,407.74,PF,PF,S,2020,0,
58,10901,1459,Fazendário,CREDITADA,9978.58,PF,PF,N,2020,0,
59,1917,520,Fazendário,CREDITADA,1481.81,PF,PF,S,2019,1,
60,33109,2065,Fazendário,CREDITADA,3683.1,PF,PF,S,2020,0,
61,26442,636,Fazendário,CREDITADA,7978.89,PF,PF,S,2020,0,
62,12510,3102,Fazendário,CREDITADA,3412.85,PF,PF,S,2019,1,
63,18901,2289,Fazendário,CREDITADA,12312.07,PF,PF,S,2018,2,
64,42580,363,Fazendário,CREDITADA,1807.22,PF,PF,S,2012,8,
65,6092,39,Fazendário,CREDITADA,1105.24,PF,PF,S,2012,8,
66,19245,3720,Fazendário,CREDITADA,405.05,PF,PF,S,2012,8,
67,41881,2961,Fazendário,CREDITADA,1684.64,PF,PF,S,2020,0,
68,5044,2121,Fazendário,CREDITADA,307.45,PF,PF,S,2012,8,
69,5625,2121,Fazendário,CREDITADA,415.34,PF,PF,S,2012,8,
70,22494,2342,Fazendário,CREDITADA,98.83,PF,PF,S,2016,4,
71,5645,2342,Fazendário,CREDITADA,95.48,PF,PF,S,2016,4,
72,15286,2342,Fazendário,CREDITADA,98.03,PF,PF,S,2016,4,
73,17170,2342,Fazendário,CREDITADA,97.84,PF,PF,S,2016,4,
74,15053,2342,Fazendário,CREDITADA,97.39,PF,PF,S,2016,4,
75,33482,2342,Fazendário,CREDITADA,98.47,PF,PF,S,2016,4,
76,9207,2342,Fazendário,CREDITADA,96.75,PF,PF,S,2016,4,
77,639,2342,Fazendário,CREDITADA,96.36,PF,PF,S,2016,4,
78,34651,2342,Fazendário,CREDITADA,98.14,PF,PF,S,2016,4,
79,20139,2342,Fazendário,CREDITADA,96.24,PF,PF,S,2016,4,
80,30719,107,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
81,30719,327,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
82,30719,558,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
83,30719,3599,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
84,18450,114,Fazendário,CREDITADA,42060.94,PF,PF,S,2020,0,
85,8489,482,Fazendário,CREDITADA,546.25,PF,PF,S,2012,8,
86,5280,987,Fazendário,CREDITADA,1343.65,PF,PF,N,2018,2,
87,5280,3024,Fazendário,CREDITADA,1343.65,PF,PF,N,2018,2,
88,44561,3432,Fazendário,CREDITADA,3953.4,PF,PF,N,2018,2,
89,44561,2043,Fazendário,CREDITADA,1318.06,PF,PF,N,2018,2,
90,44561,2706,Fazendário,CREDITADA,1318.06,PF,PF,N,2018,2,
91,44561,3681,Fazendário,CREDITADA,1317.27,PF,PF,N,2018,2,
92,45535,3783,Fazendário,CREDITADA,1046.64,PF,PF,S,2020,0,
93,20300,1809,Fazendário,CREDITADA,1880.51,PF,PF,S,2020,0,
94,25824,1356,Fazendário,CREDITADA,1347.5,PF,PF,S,2020,0,
95,45914,3071,Fazendário,CREDITADA,3763.45,PF,PF,S,2019,1,
96,30959,148,Fazendário,CREDITADA,107.11,PF,PF,S,2020,0,
97,1933,148,Fazendário,CREDITADA,377.83,PF,PF,S,2020,0,
98,16952,2665,Fazendário,CREDITADA,644.26,PF,PF,N,2018,2,
99,47442,2665,Fazendário,CREDITADA,468.64,PF,PF,N,2019,1,
100,33971,275,Fazendário,CREDITADA,1414.61,PF,PF,S,2020,0,
101,25833,275,Fazendário,CREDITADA,1309.53,PF,PF,S,2020,0,
102,11691,275,Fazendário,CREDITADA,1561.52,PF,PF,S,2020,0,
103,29375,275,Fazendário,CREDITADA,1612.05,PF,PF,S,2020,0,
104,20931,1948,Fazendário,CREDITADA,1184.71,PF,PF,S,2020,0,
105,23111,1948,Fazendário,CREDITADA,519.74,PF,PF,S,2020,0,
106,42899,82,Fazendário,CREDITADA,24298.45,PF,PF,S,2012,8,
107,29594,82,Fazendário,CREDITADA,15568.64,PF,PF,S,2020,0,
108,3502,763,Fazendário,CREDITADA,202.66,PF,PF,S,2016,4,
109,48317,3053,Fazendário,CREDITADA,95.06,PF,PF,S,2016,4,
110,36587,2528,Fazendário,CREDITADA,4333.33,PF,PF,S,2020,0,
111,24111,2528,Fazendário,CREDITADA,3944.16,PF,PF,S,2020,0,
112,48326,1711,Fazendário,CREDITADA,95.48,PF,PF,S,2016,4,
113,40197,2835,Fazendário,CREDITADA,411.36,PF,PF,S,2018,2,
114,1807,2835,Fazendário,CREDITADA,361.99,PF,PF,S,2018,2,
115,37215,2835,Fazendário,CREDITADA,405.94,PF,PF,S,2018,2,
116,11349,2835,Fazendário,CREDITADA,386.08,PF,PF,S,2018,2,
117,46198,1085,Fazendário,CREDITADA,126.76,PF,PF,S,2015,5,
118,47536,1252,Fazendário,CREDITADA,2446.71,PF,PF,S,2017,3,
119,10247,879,Fazendário,CREDITADA,5854.49,PF,PF,S,2020,0,
120,48021,3380,Fazendário,CREDITADA,14577.35,PF,PF,S,2020,0,
121,40122,3295,Fazendário,CREDITADA,804.43,PF,PF,S,2020,0,
122,48318,3318,Fazendário,CREDITADA,1496.58,PF,PF,S,2020,0,
123,19896,3318,Fazendário,CREDITADA,1618.74,PF,PF,S,2020,0,
124,21442,3318,Fazendário,CREDITADA,873.16,PF,PF,S,2020,0,
125,30654,3318,Fazendário,CREDITADA,1081.68,PF,PF,S,2020,0,
126,22561,3318,Fazendário,CREDITADA,1795.76,PF,PF,S,2020,0,
127,17150,3622,Fazendário,CREDITADA,9941.02,PF,PF,N,2018,2,
128,3620,1022,Fazendário,CREDITADA,838.06,PF,PF,N,2018,2,
129,3620,2944,Fazendário,CREDITADA,838.06,PF,PF,N,2018,2,
130,3620,1701,Fazendário,CREDITADA,838.06,PF,PF,N,2018,2,
131,3620,3787,Fazendário,CREDITADA,838.06,PF,PF,N,2018,2,
132,3620,1792,Fazendário,CREDITADA,833.04,PF,PF,N,2018,2,
133,11319,2398,Fazendário,CREDITADA,28184.14,PF,PF,S,2020,0,
134,10610,3335,Fazendário,CREDITADA,77369.24,PF,PF,S,2020,0,
135,42912,2716,Fazendário,CREDITADA,128.27,PF,PF,S,2018,2,
136,29639,2163,Fazendário,CREDITADA,1271.44,PF,PF,S,2020,0,
137,1069,3114,Fazendário,CREDITADA,4767.18,PF,PF,S,2020,0,
138,41115,1346,Fazendário,CREDITADA,4504.85,PF,PF,S,2020,0,
139,24756,1346,Fazendário,CREDITADA,7657.61,PF,PF,S,2020,0,
140,32126,3264,Fazendário,CREDITADA,2549.31,PF,PF,S,2019,1,
141,9457,3264,Fazendário,CREDITADA,1428.54,PF,PF,S,2019,1,
142,36304,3264,Fazendário,CREDITADA,1106.75,PF,PF,S,2019,1,
143,40533,3264,Fazendário,CREDITADA,2739.68,PF,PF,S,2019,1,
144,15072,2437,Fazendário,CREDITADA,949.53,PF,PF,N,2020,0,
145,15072,1297,Fazendário,CREDITADA,949.53,PF,PF,N,2020,0,
146,15072,2084,Fazendário,CREDITADA,949.53,PF,PF,N,2020,0,
147,15072,242,Fazendário,CREDITADA,949.53,PF,PF,N,2020,0,
148,15072,2715,Fazendário,CREDITADA,949.53,PF,PF,N,2020,0,
149,36037,428,Fazendário,CREDITADA,954.94,PF,PF,S,2020,0,
150,32211,2687,Fazendário,CREDITADA,212.9,PF,PF,S,2020,0,
151,9835,2687,Fazendário,CREDITADA,648.91,PF,PF,S,2020,0,
152,40433,2687,Fazendário,CREDITADA,735.18,PF,PF,S,2020,0,
153,36005,2428,Fazendário,CREDITADA,62157.28,PF,PF,S,2020,0,
154,42294,1045,Fazendário,CREDITADA,433.77,PF,PF,S,2019,1,
155,41516,3118,Fazendário,CREDITADA,3543.79,PF,PF,S,2020,0,
156,38909,2013,Fazendário,CREDITADA,1663.34,PF,PF,S,2019,1,
157,27928,2461,Fazendário,CREDITADA,809.76,PF,PF,S,2020,0,
158,4811,3820,Fazendário,CREDITADA,1698.59,PF,PF,N,2019,1,
159,4811,2250,Fazendário,CREDITADA,1698.59,PF,PF,N,2019,1,
160,16127,3581,Fazendário,CREDITADA,100.23,PF,PF,S,2019,1,
161,14063,2453,Fazendário,CREDITADA,5849.3,PF,PF,N,2019,1,
162,45624,2015,Fazendário,CREDITADA,10700.21,PF,PF,N,2020,0,
163,25242,1941,Fazendário,CREDITADA,3431.33,PF,PF,S,2020,0,
164,44937,1941,Fazendário,CREDITADA,7305.07,PF,PF,S,2020,0,
165,17583,1941,Fazendário,CREDITADA,3438.58,PF,PF,S,2020,0,
166,40002,1941,Fazendário,CREDITADA,5738.19,PF,PF,S,2020,0,
167,3695,1941,Fazendário,CREDITADA,5741.0,PF,PF,S,2020,0,
168,35240,1941,Fazendário,CREDITADA,4575.17,PF,PF,S,2020,0,
169,13456,2688,Fazendário,CREDITADA,556.99,PF,PF,N,2019,1,
170,16531,757,Fazendário,CREDITADA,256.94,PF,PF,S,2019,1,
171,42448,3241,Fazendário,CREDITADA,911.62,PF,PF,S,2020,0,
172,11515,3241,Fazendário,CREDITADA,914.93,PF,PF,S,2020,0,
173,2993,876,Fazendário,CREDITADA,691.48,PF,PF,S,2019,1,
174,8995,3673,Fazendário,CREDITADA,288.13,PF,PF,S,2020,0,
175,1233,3549,Fazendário,CREDITADA,2997.29,PF,PF,N,2019,1,
176,1233,3143,Fazendário,CREDITADA,2997.29,PF,PF,N,2019,1,
177,6434,1518,Fazendário,CREDITADA,324.57,PF,PF,S,2020,0,
178,47514,2302,Fazendário,CREDITADA,344.64,PF,PF,S,2019,1,
179,41433,2460,Fazendário,CREDITADA,8318.48,PF,PF,N,2019,1,
180,5596,694,Fazendário,CREDITADA,21001.66,PF,PF,S,2019,1,
181,27401,1528,Fazendário,CREDITADA,335.33,PF,PF,S,2019,1,
182,38997,2139,Fazendário,CREDITADA,4253.45,PF,PF,S,2019,1,
183,34203,1084,Fazendário,CREDITADA,621.37,PF,PF,N,2019,1,
184,34203,3604,Fazendário,CREDITADA,155.34,PF,PF,N,2019,1,
185,34203,3582,Fazendário,CREDITADA,155.34,PF,PF,N,2019,1,
186,34203,934,Fazendário,CREDITADA,155.34,PF,PF,N,2019,1,
187,34203,2252,Fazendário,CREDITADA,155.34,PF,PF,N,2019,1,
188,39699,1084,Fazendário,CREDITADA,703.56,PF,PF,N,2020,0,
189,39699,3604,Fazendário,CREDITADA,175.89,PF,PF,N,2020,0,
190,39699,3582,Fazendário,CREDITADA,175.89,PF,PF,N,2020,0,
191,39699,934,Fazendário,CREDITADA,175.89,PF,PF,N,2020,0,
192,39699,2252,Fazendário,CREDITADA,175.89,PF,PF,N,2020,0,
193,38733,2318,Fazendário,CREDITADA,10.99,PF,PF,S,2020,0,
194,13019,546,Fazendário,CREDITADA,691.05,PF,PF,S,2019,1,
195,13154,1522,Fazendário,CREDITADA,687.82,PF,PF,S,2020,0,
196,31617,1522,Fazendário,CREDITADA,687.52,PF,PF,S,2020,0,
197,22006,3009,Fazendário,CREDITADA,552.2,PF,PF,S,2020,0,
198,20044,42,Fazendário,CREDITADA,0.9,PF,PF,S,2020,0,
199,44516,2508,Fazendário,CREDITADA,785.23,PF,PF,S,2020,0,
200,32663,2508,Fazendário,CREDITADA,782.75,PF,PF,S,2019,1,
201,12169,2508,Fazendário,CREDITADA,787.07,PF,PF,S,2020,0,
202,9117,2508,Fazendário,CREDITADA,986.91,PF,PF,S,2019,1,
203,43962,2508,Fazendário,CREDITADA,793.09,PF,PF,S,2020,0,
204,19835,2508,Fazendário,CREDITADA,989.09,PF,PF,S,2020,0,
205,27064,2508,Fazendário,CREDITADA,791.84,PF,PF,S,2019,1,
206,32185,2508,Fazendário,CREDITADA,794.77,PF,PF,S,2020,0,
207,24844,2508,Fazendário,CREDITADA,991.43,PF,PF,S,2020,0,
208,28913,2508,Fazendário,CREDITADA,1084.6,PF,PF,S,2019,1,
209,46539,2508,Fazendário,CREDITADA,1090.92,PF,PF,S,2020,0,
210,16150,2508,Fazendário,CREDITADA,1090.38,PF,PF,S,2020,0,
211,38554,724,Fazendário,CREDITADA,467.29,PF,PF,S,2020,0,
212,35035,3489,Fazendário,CREDITADA,357.2,PF,PF,S,2019,1,
213,35879,1974,Fazendário,CREDITADA,4451.51,PF,PF,S,2019,1,
214,4097,1974,Fazendário,CREDITADA,3906.29,PF,PF,S,2019,1,
215,28592,1974,Fazendário,CREDITADA,4463.28,PF,PF,S,2019,1,
216,17529,3843,Fazendário,CREDITADA,7886.05,PF,PF,S,2019,1,
217,28122,2448,Fazendário,CREDITADA,239.45,PF,PF,S,2020,0,
218,7995,1927,Fazendário,CREDITADA,1613.59,PF,PF,S,2020,0,
219,27558,3663,Fazendário,CREDITADA,644.27,PF,PF,N,2019,1,
220,27558,2803,Fazendário,CREDITADA,644.27,PF,PF,N,2019,1,
221,16905,1867,Fazendário,CREDITADA,8234.89,PF,PF,S,2019,1,
222,34886,576,Fazendário,CREDITADA,2613.15,PF,PF,S,2019,1,
223,686,2194,Fazendário,CREDITADA,1279.15,PF,PF,S,2020,0,
224,25481,358,Fazendário,CREDITADA,257.89,PF,PF,S,2019,1,
225,32154,370,Fazendário,CREDITADA,16965.66,PF,PF,S,2019,1,
226,45351,933,Fazendário,CREDITADA,1041.05,PF,PF,S,2019,1,
227,28806,388,Fazendário,CREDITADA,277.3,PF,PF,S,2019,1,
228,5123,3749,Fazendário,CREDITADA,268.75,PF,PF,S,2019,1,
229,7243,83,Fazendário,CREDITADA,11452.34,PF,PF,S,2020,0,
230,44394,1580,Fazendário,CREDITADA,1238.7,PF,PF,S,2020,0,
231,40679,1796,Fazendário,CREDITADA,736.62,PF,PF,N,2019,1,
232,40679,387,Fazendário,CREDITADA,736.4,PF,PF,N,2019,1,
233,40679,47,Fazendário,CREDITADA,736.4,PF,PF,N,2019,1,
234,38810,3686,Fazendário,CREDITADA,2268.94,PF,PF,N,2019,1,
235,24432,3598,Fazendário,CREDITADA,1685.89,PF,PF,N,2019,1,
236,24432,225,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
237,24432,1837,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
238,24432,1994,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
239,24432,1784,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
240,24432,1642,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
241,24432,2401,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
242,24432,143,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
243,24432,3588,Fazendário,CREDITADA,210.74,PF,PF,N,2019,1,
244,42736,1766,Fazendário,CREDITADA,185.06,PF,PF,S,2020,0,
245,40984,165,Fazendário,CREDITADA,34.0,PF,PF,N,2020,0,
246,40984,308,Fazendário,CREDITADA,34.0,PF,PF,N,2020,0,
247,46757,165,Fazendário,CREDITADA,429.42,PF,PF,N,2020,0,
248,46757,308,Fazendário,CREDITADA,429.42,PF,PF,N,2020,0,
249,25175,165,Fazendário,CREDITADA,756.05,PF,PF,N,2020,0,
250,25175,308,Fazendário,CREDITADA,756.05,PF,PF,N,2020,0,
251,46860,2813,Fazendário,CREDITADA,1290.22,PF,PF,N,2019,1,
252,46860,3806,Fazendário,CREDITADA,1290.22,PF,PF,N,2019,1,
253,46860,617,Fazendário,CREDITADA,1290.22,PF,PF,N,2019,1,
254,46860,2022,Fazendário,CREDITADA,1290.22,PF,PF,N,2019,1,
255,15869,501,Fazendário,CREDITADA,2449.76,PF,PF,S,2020,0,
256,36505,501,Fazendário,CREDITADA,2428.99,PF,PF,S,2020,0,
257,37133,1535,Fazendário,CREDITADA,5974.88,PF,PF,S,2020,0,
258,17628,1339,Fazendário,CREDITADA,1148.66,PF,PF,S,2020,0,
259,21436,718,Fazendário,CREDITADA,203.2,PF,PF,S,2019,1,
260,14327,2753,Fazendário,CREDITADA,751.67,PF,PF,N,2019,1,
261,14327,3076,Fazendário,CREDITADA,751.67,PF,PF,N,2019,1,
262,14327,754,Fazendário,CREDITADA,751.67,PF,PF,N,2019,1,
263,14327,2727,Fazendário,CREDITADA,751.67,PF,PF,N,2019,1,
264,14327,1706,Fazendário,CREDITADA,751.22,PF,PF,N,2019,1,
265,14327,2832,Fazendário,CREDITADA,751.22,PF,PF,N,2019,1,
266,43409,1621,Fazendário,CREDITADA,2019.93,PF,PF,S,2020,0,
267,27338,501,Fazendário,CREDITADA,2471.46,PF,PF,S,2020,0,
268,11880,2909,Fazendário,CREDITADA,2314.46,PF,PF,N,2020,0,
269,11880,2295,Fazendário,CREDITADA,1157.23,PF,PF,N,2020,0,
270,11880,3126,Fazendário,CREDITADA,1157.23,PF,PF,N,2020,0,
271,31456,3800,Fazendário,CREDITADA,1168.44,PF,PF,N,2019,1,
272,36746,2865,Fazendário,CREDITADA,1237.49,PF,PF,S,2020,0,
273,899,2865,Fazendário,CREDITADA,888.81,PF,PF,S,2020,0,
274,25350,2865,Fazendário,CREDITADA,1242.88,PF,PF,S,2020,0,
275,42558,249,Fazendário,CREDITADA,268.93,PF,PF,S,2020,0,
276,43189,249,Fazendário,CREDITADA,224.3,PF,PF,S,2020,0,
277,33214,249,Fazendário,CREDITADA,269.06,PF,PF,S,2020,0,
278,14476,249,Fazendário,CREDITADA,272.21,PF,PF,S,2020,0,
279,32656,249,Fazendário,CREDITADA,271.97,PF,PF,S,2020,0,
280,20989,2801,Fazendário,CREDITADA,19994.57,PF,PF,S,2020,0,
281,35480,3453,Fazendário,CREDITADA,2282.17,PF,PF,N,2020,0,
282,22355,299,Fazendário,CREDITADA,46394.41,PF,PF,S,2020,0,
283,35171,299,Fazendário,CREDITADA,39124.63,PF,PF,S,2020,0,
284,1026,299,Fazendário,CREDITADA,44623.53,PF,PF,S,2020,0,
285,22594,320,Fazendário,CREDITADA,7334.19,PF,PF,S,2020,0,
286,17129,2193,Fazendário,CREDITADA,3080.33,PF,PF,S,2020,0,
287,30035,2193,Fazendário,CREDITADA,3278.77,PF,PF,S,2020,0,
288,29003,2193,Fazendário,CREDITADA,1051.47,PF,PF,S,2020,0,
289,45676,2193,Fazendário,CREDITADA,1031.94,PF,PF,S,2020,0,
290,24229,994,Fazendário,CREDITADA,11426.73,PF,PF,S,2020,0,
291,33320,1020,Fazendário,CREDITADA,843.03,PF,PF,N,2019,1,
292,33320,714,Fazendário,CREDITADA,843.28,PF,PF,N,2019,1,
293,33320,1001,Fazendário,CREDITADA,843.03,PF,PF,N,2019,1,
294,39520,3123,Fazendário,CREDITADA,3333.22,PF,PF,N,2019,1,
295,41609,1810,Fazendário,CREDITADA,1921.64,PF,PF,S,2020,0,
296,38216,1810,Fazendário,CREDITADA,2454.09,PF,PF,S,2020,0,
297,40748,1810,Fazendário,CREDITADA,2855.14,PF,PF,S,2020,0,
298,20962,3416,Fazendário,CREDITADA,13981.6,PF,PF,S,2020,0,
299,35693,3468,Fazendário,CREDITADA,14082.71,PF,PF,S,2020,0,
300,30409,3468,Fazendário,CREDITADA,8564.27,PF,PF,S,2020,0,
301,15820,233,Fazendário,CREDITADA,24515.73,PF,PF,S,2020,0,
302,28555,233,Fazendário,CREDITADA,18539.98,PF,PF,S,2020,0,
303,27417,233,Fazendário,CREDITADA,16515.19,PF,PF,S,2020,0,
304,7113,233,Fazendário,CREDITADA,14452.13,PF,PF,S,2020,0,
305,14626,233,Fazendário,CREDITADA,20139.57,PF,PF,S,2020,0,
306,27304,2293,Fazendário,CREDITADA,3690.97,PF,PF,S,2020,0,
307,5952,2293,Fazendário,CREDITADA,1970.94,PF,PF,S,2020,0,
308,20804,2452,Fazendário,CREDITADA,1744.46,PF,PF,S,2020,0,
309,18737,1622,Fazendário,CREDITADA,212.72,PF,PF,S,2020,0,
310,28230,3254,Fazendário,CREDITADA,14094.64,PF,PF,S,2020,0,
311,18204,3254,Fazendário,CREDITADA,15748.02,PF,PF,S,2020,0,
312,17275,3254,Fazendário,CREDITADA,17235.05,PF,PF,S,2020,0,
313,41280,3254,Fazendário,CREDITADA,13573.66,PF,PF,S,2020,0,
314,38894,2738,Fazendário,CREDITADA,75809.46,PF,PF,N,2020,0,
315,41688,2738,Fazendário,CREDITADA,46517.29,PF,PF,N,2020,0,
316,11802,2738,Fazendário,CREDITADA,76096.23,PF,PF,N,2020,0,
317,43756,2738,Fazendário,CREDITADA,61097.35,PF,PF,N,2020,0,
318,47921,2296,Fazendário,CREDITADA,9366.42,PF,PF,N,0,20,
319,47921,3688,Fazendário,CREDITADA,4683.23,PF,PF,N,0,20,
320,47921,2464,Fazendário,CREDITADA,4683.23,PF,PF,N,0,20,
321,18301,1712,Fazendário,CREDITADA,3468.2,PF,PF,S,2019,1,
322,29958,2144,Fazendário,CREDITADA,116.96,PF,PF,S,2006,14,
323,38320,3805,Fazendário,CREDITADA,6926.98,PF,PF,S,2016,4,
324,47703,1177,Fazendário,CREDITADA,3096.35,PF,PF,N,2016,4,
325,34267,1281,Fazendário,CREDITADA,17635.25,PF,PF,S,2016,4,
326,13068,2994,Fazendário,CREDITADA,523.72,PF,PF,N,2010,10,
327,30254,3181,Fazendário,CREDITADA,51886.61,PF,PF,S,2016,4,
328,16956,1281,Fazendário,CREDITADA,17829.96,PF,PF,S,2012,8,
329,40228,2921,Fazendário,CREDITADA,12873.34,PF,PF,N,2018,2,
330,40228,264,Fazendário,CREDITADA,12869.49,PF,PF,N,2018,2,
331,40228,921,Fazendário,CREDITADA,12869.49,PF,PF,N,2018,2,
332,32732,1115,Fazendário,CREDITADA,4089.28,PF,PF,N,2020,0,
333,45649,959,Fazendário,CREDITADA,368.91,PF,PF,S,2012,8,
334,43411,959,Fazendário,CREDITADA,392.97,PF,PF,S,2012,8,
335,13663,959,Fazendário,CREDITADA,395.9,PF,PF,S,2012,8,
336,43398,959,Fazendário,CREDITADA,369.13,PF,PF,S,2012,8,
337,34045,2629,Fazendário,CREDITADA,7057.16,PF,PF,N,2013,7,
338,5790,3254,Fazendário,CREDITADA,18417.03,PF,PF,S,2020,0,
339,22091,2780,Fazendário,CREDITADA,8068.63,PF,PF,S,2020,0,
340,31487,822,Fazendário,CREDITADA,73.41,PF,PF,S,2020,0,
341,43604,1150,Fazendário,CREDITADA,11522.29,PF,PF,S,2020,0,
342,35934,3060,Fazendário,CREDITADA,11202.29,PF,PF,S,2020,0,
343,16927,3060,Fazendário,CREDITADA,7053.08,PF,PF,S,2020,0,
344,47553,3060,Fazendário,CREDITADA,13006.04,PF,PF,S,2020,0,
345,6160,3060,Fazendário,CREDITADA,8118.78,PF,PF,S,2020,0,
346,199,2216,Fazendário,CREDITADA,1518.03,PF,PF,S,2020,0,
347,13989,1536,Fazendário,CREDITADA,6754.73,PF,PF,S,2020,0,
348,14601,1326,Fazendário,CREDITADA,7678.69,PF,PF,S,2020,0,
349,776,1326,Fazendário,CREDITADA,14949.09,PF,PF,S,2020,0,
350,3859,1326,Fazendário,CREDITADA,13303.92,PF,PF,S,2020,0,
351,13727,1326,Fazendário,CREDITADA,16059.48,PF,PF,S,2020,0,
352,36124,803,Fazendário,CREDITADA,2041.49,PF,PF,S,2020,0,
353,36732,1326,Fazendário,CREDITADA,8159.02,PF,PF,S,2020,0,
354,47321,3762,Fazendário,CREDITADA,5616.45,PF,PF,S,2020,0,
